ICAO Code,Latitude,Longitude,City
RAWA,57.8714,-87.8152,Rawalpindi
RAWA,21.3306,-172.6826,Rawalpindi
GUJR,-34.2158,84.0976,Gujranwala
SIAL,74.6864,-117.9135,Sialkot
FAIS,-1.8562,160.8709,Faisalabad
FAIS,-65.1997,71.8065,Faisalabad
QUET,33.8647,15.1651,Quetta
SIAL,-33.4723,-162.7649,Sialkot
LAHO,44.0134,-129.7176,Lahore
RAWA,44.7323,-24.279,Rawalpindi
FAIS,35.9033,154.0976,Faisalabad
GUJR,65.3159,175.0228,Gujranwala
LAHO,34.9562,-152.1621,Lahore
MULT,-24.0048,28.8361,Multan
KARA,47.7578,115.7733,Karachi
SIAL,33.0769,-32.5661,Sialkot
GWAD,10.6968,104.5986,Gwadar
SUKK,-71.8204,97.0516,Sukkur
LAHO,-40.9831,-17.1911,Lahore
LAHO,26.9471,24.2664,Lahore
QUET,-21.9702,122.5305,Quetta
RAWA,-76.9406,57.7833,Rawalpindi
SIAL,-53.2267,-3.7348,Sialkot
GWAD,-55.9957,92.3505,Gwadar
LAHO,-29.6613,-174.423,Lahore
KARA,-19.5946,-18.1176,Karachi
ISLA,-43.6403,144.092,Islamabad
RAWA,35.9486,-57.6243,Rawalpindi
LAHO,17.9738,-123.8674,Lahore
FAIS,75.7707,-54.9534,Faisalabad
GUJR,34.2454,-162.8887,Gujranwala
SUKK,-22.3603,141.1362,Sukkur
PESH,-42.0657,153.2971,Peshawar
SUKK,-62.2549,-1.4533,Sukkur
RAWA,-35.8595,128.2383,Rawalpindi
ISLA,-58.0156,-153.2789,Islamabad
ISLA,-40.2055,172.376,Islamabad
MULT,78.8339,-52.8511,Multan
FAIS,-51.9112,-157.9092,Faisalabad
GUJR,-21.5022,-20.8606,Gujranwala
KARA,20.69,52.8792,Karachi
FAIS,-26.9113,-143.3111,Faisalabad
GWAD,48.0759,-111.3679,Gwadar
KARA,89.8824,160.389,Karachi
SUKK,-37.8169,88.9189,Sukkur
SIAL,-45.208,58.7958,Sialkot
GWAD,-79.3871,-110.5078,Gwadar
GUJR,44.9442,68.7089,Gujranwala
SIAL,2.1619,128.5783,Sialkot
QUET,28.2763,-25.7048,Quetta
SUKK,-16.1989,-73.72,Sukkur
MULT,80.7074,-70.9862,Multan
SUKK,49.7263,-79.4643,Sukkur
PESH,57.1051,160.0199,Peshawar
RAWA,-42.9406,-109.1602,Rawalpindi
LAHO,78.1112,-8.1984,Lahore
GUJR,44.7423,-38.5431,Gujranwala
LAHO,-49.4125,177.0336,Lahore
ISLA,31.3859,51.7582,Islamabad
GWAD,23.9496,95.476,Gwadar
MULT,-30.3163,123.5286,Multan
ISLA,-20.8703,-29.5081,Islamabad
RAWA,43.6178,-35.7297,Rawalpindi
SIAL,25.5249,-72.3812,Sialkot
PESH,49.3001,27.0651,Peshawar
SIAL,35.4787,70.1421,Sialkot
SUKK,46.1494,-8.0572,Sukkur
PESH,13.8983,72.662,Peshawar
SUKK,-18.2419,-96.9412,Sukkur
GWAD,74.8937,71.8212,Gwadar
SUKK,-35.3476,-74.9026,Sukkur
MULT,81.4829,-56.3704,Multan
GUJR,88.9403,46.6827,Gujranwala
RAWA,37.4018,-57.2709,Rawalpindi
GUJR,-78.9289,-133.1519,Gujranwala
KARA,4.4377,-175.3053,Karachi
QUET,-53.3781,138.9238,Quetta
ISLA,55.2046,-68.9588,Islamabad
LAHO,-5.6193,-129.4357,Lahore
GUJR,-10.0719,105.5143,Gujranwala
KARA,-75.4115,-82.5974,Karachi
QUET,51.2141,-51.8966,Quetta
ISLA,63.8814,-16.2835,Islamabad
LAHO,49.0012,-59.8313,Lahore
KARA,56.7508,-32.4996,Karachi
SIAL,61.1262,172.415,Sialkot
RAWA,-35.4985,106.0894,Rawalpindi
GUJR,-32.6219,29.9063,Gujranwala
GUJR,70.9883,-15.6404,Gujranwala
GWAD,35.2081,167.6665,Gwadar
SUKK,35.6285,15.3574,Sukkur
SIAL,-31.9026,-135.2667,Sialkot
KARA,73.966,159.5289,Karachi
GUJR,-83.0068,26.0169,Gujranwala
KARA,-23.7652,155.0631,Karachi
FAIS,-25.1562,-117.7204,Faisalabad
QUET,48.1502,104.8006,Quetta
SUKK,82.969,78.2541,Sukkur
QUET,33.8145,-152.7947,Quetta
KARA,-65.0324,-111.5402,Karachi
KARA,-39.2726,124.9096,Karachi
QUET,-6.5487,-77.3822,Quetta
QUET,57.0263,-26.3488,Quetta
LAHO,88.6721,174.236,Lahore
PESH,80.6538,-49.5926,Peshawar
GUJR,80.9263,100.5249,Gujranwala
FAIS,8.7121,57.6459,Faisalabad
SIAL,-57.4219,-16.1478,Sialkot
SIAL,-68.0367,-71.9841,Sialkot
FAIS,-72.3329,127.5733,Faisalabad
GUJR,37.4057,-37.7161,Gujranwala
RAWA,64.3637,-49.4275,Rawalpindi
RAWA,56.0599,-54.4165,Rawalpindi
RAWA,-59.0692,-132.3683,Rawalpindi
LAHO,-11.3775,-86.4756,Lahore
SUKK,36.4603,128.3758,Sukkur
LAHO,75.0316,-88.2228,Lahore
SUKK,-73.5404,57.1869,Sukkur
PESH,-81.9899,57.2333,Peshawar
SIAL,67.1938,-51.5499,Sialkot
GWAD,-1.3417,146.8549,Gwadar
GUJR,37.1756,41.4873,Gujranwala
GUJR,-21.5233,-50.898,Gujranwala
GUJR,-81.221,-110.9337,Gujranwala
KARA,32.9994,-7.2585,Karachi
LAHO,37.6137,64.3868,Lahore
SUKK,-1.0382,73.9206,Sukkur
GWAD,-69.2371,-16.5421,Gwadar
LAHO,19.7004,-129.3419,Lahore
FAIS,-71.6199,-40.1024,Faisalabad
ISLA,-65.2218,-69.4482,Islamabad
PESH,-54.8795,17.1103,Peshawar
LAHO,77.9482,119.1682,Lahore
ISLA,-57.5905,112.2897,Islamabad
FAIS,89.5448,-125.845,Faisalabad
ISLA,-38.8768,-78.4589,Islamabad
FAIS,-36.5554,82.4228,Faisalabad
MULT,8.9381,-47.1802,Multan
LAHO,-86.3097,165.3587,Lahore
QUET,-62.6406,57.3235,Quetta
QUET,-75.1441,-95.1816,Quetta
QUET,22.8855,-66.9339,Quetta
SUKK,-88.1591,-130.5259,Sukkur
FAIS,55.1977,52.2467,Faisalabad
FAIS,20.6485,-58.7395,Faisalabad
GWAD,57.0661,114.0674,Gwadar
ISLA,-58.0294,-131.1657,Islamabad
GWAD,30.0427,49.5564,Gwadar
RAWA,52.0451,169.7352,Rawalpindi
QUET,57.8628,171.0238,Quetta
SIAL,19.0654,-150.864,Sialkot
LAHO,73.4921,77.3312,Lahore
KARA,-32.464,3.7146,Karachi
PESH,-86.423,114.8118,Peshawar
SIAL,-67.9322,-85.9912,Sialkot
GWAD,-14.2282,-19.2567,Gwadar
PESH,-47.6746,-172.1083,Peshawar
RAWA,77.904,94.5826,Rawalpindi
QUET,21.5863,163.4296,Quetta
LAHO,10.8675,108.224,Lahore
SIAL,-0.7588,80.4784,Sialkot
FAIS,-61.5252,-127.6608,Faisalabad
KARA,-12.7098,175.5011,Karachi
KARA,-25.4349,31.2766,Karachi
ISLA,84.4083,-54.2928,Islamabad
SUKK,-82.8748,-19.7303,Sukkur
FAIS,-53.3637,170.9299,Faisalabad
MULT,88.9985,174.9932,Multan
LAHO,-7.9885,-133.5305,Lahore
KARA,46.6495,3.6742,Karachi
FAIS,-9.7026,-150.8756,Faisalabad
KARA,-39.1379,-57.3985,Karachi
KARA,-23.9101,-67.1193,Karachi
QUET,25.9113,-56.3425,Quetta
KARA,-63.8447,-51.1433,Karachi
GWAD,-8.3885,-141.2888,Gwadar
LAHO,-51.0318,142.0405,Lahore
KARA,-11.9478,44.6978,Karachi
GUJR,-53.1654,-132.8393,Gujranwala
SIAL,55.5701,-111.306,Sialkot
RAWA,-40.6657,121.416,Rawalpindi
PESH,-59.8562,-107.8671,Peshawar
RAWA,7.4328,-60.8863,Rawalpindi
ISLA,-1.7503,178.9515,Islamabad
GWAD,39.1188,-136.1698,Gwadar
GUJR,-83.4062,18.0706,Gujranwala
PESH,17.5564,-179.8302,Peshawar
PESH,-20.7054,148.3217,Peshawar
MULT,62.1166,7.8057,Multan
GUJR,41.8669,-134.3189,Gujranwala
KARA,-51.1789,-32.4148,Karachi
SIAL,-3.9017,-128.9359,Sialkot
LAHO,-84.9706,17.8687,Lahore
ISLA,-5.6924,-109.8553,Islamabad
LAHO,4.6024,151.8003,Lahore
GUJR,-44.1154,-41.6778,Gujranwala
ISLA,34.5006,-156.2354,Islamabad
KARA,65.4964,-83.2703,Karachi
GWAD,-6.2578,127.2307,Gwadar
KARA,48.6366,-120.3584,Karachi
GUJR,-59.4789,-88.6821,Gujranwala
GUJR,-57.3014,119.5095,Gujranwala
GWAD,24.8872,-98.2345,Gwadar
KARA,84.0236,45.3236,Karachi
FAIS,-23.1835,-177.0144,Faisalabad
MULT,19.6568,-86.729,Multan
QUET,-53.881,130.1477,Quetta
LAHO,-30.7279,-27.0296,Lahore
RAWA,-71.7266,-82.8235,Rawalpindi
MULT,13.6587,85.3769,Multan
MULT,57.5905,106.0156,Multan
GUJR,-59.4513,-110.9245,Gujranwala
GWAD,-67.5102,27.1489,Gwadar
GUJR,86.0693,54.0779,Gujranwala
LAHO,-61.2449,143.449,Lahore
FAIS,-28.1008,-116.6818,Faisalabad
GUJR,13.6234,26.4274,Gujranwala
LAHO,22.8875,29.7285,Lahore
LAHO,26.8594,-152.1318,Lahore
LAHO,59.005,49.5538,Lahore
GUJR,46.6328,52.9344,Gujranwala
SIAL,-74.5205,135.5705,Sialkot
MULT,-44.765,157.9557,Multan
FAIS,-8.8673,-41.6536,Faisalabad
RAWA,-21.3449,97.6128,Rawalpindi
RAWA,-68.0062,165.9905,Rawalpindi
QUET,39.6337,-136.5187,Quetta
SIAL,21.2766,169.502,Sialkot
FAIS,27.768,81.4394,Faisalabad
FAIS,-47.5009,60.5868,Faisalabad
QUET,-76.8621,-143.396,Quetta
MULT,11.8445,29.5198,Multan
QUET,-31.4242,-147.2552,Quetta
MULT,79.1771,-53.2721,Multan
GWAD,-68.46,52.5299,Gwadar
QUET,-43.6363,-25.4455,Quetta
SIAL,-44.7716,114.6865,Sialkot
GUJR,17.7236,83.8148,Gujranwala
SIAL,82.1854,-36.8495,Sialkot
QUET,-7.9247,155.0658,Quetta
KARA,75.931,66.1462,Karachi
KARA,13.6951,145.778,Karachi
PESH,78.1972,-78.1607,Peshawar
GWAD,-56.517,11.9521,Gwadar
LAHO,30.5966,59.4897,Lahore
GUJR,41.0851,10.3849,Gujranwala
SUKK,-56.4102,-83.6421,Sukkur
QUET,-7.2874,-82.287,Quetta
MULT,-18.8278,58.8637,Multan
FAIS,69.9918,61.1107,Faisalabad
QUET,-46.9001,-29.5491,Quetta
LAHO,29.542,-26.253,Lahore
GWAD,-69.934,-66.9632,Gwadar
SUKK,-57.4265,130.1381,Sukkur
LAHO,-57.4025,154.6264,Lahore
LAHO,6.756,-162.2416,Lahore
FAIS,36.0608,122.2151,Faisalabad
LAHO,82.22,163.0077,Lahore
SIAL,-88.7068,96.0332,Sialkot
QUET,-58.8577,155.4632,Quetta
PESH,82.6834,-33.2301,Peshawar
LAHO,-7.1036,-50.8463,Lahore
FAIS,64.7072,-1.3332,Faisalabad
GUJR,25.6105,-59.192,Gujranwala
PESH,-18.2805,-123.2426,Peshawar
GWAD,-29.1606,-57.0269,Gwadar
ISLA,-85.7454,27.2103,Islamabad
ISLA,-14.0683,39.0749,Islamabad
RAWA,-2.1011,-19.6102,Rawalpindi
GUJR,61.785,165.7119,Gujranwala
RAWA,75.8481,173.1398,Rawalpindi
QUET,66.6442,124.635,Quetta
PESH,39.776,163.5218,Peshawar
SUKK,79.2449,-6.5077,Sukkur
SUKK,59.8836,-107.5187,Sukkur
GUJR,69.8531,-61.1018,Gujranwala
PESH,13.7236,-76.1231,Peshawar
KARA,10.2095,109.6307,Karachi
RAWA,-73.0871,10.0573,Rawalpindi
PESH,-11.9891,-113.102,Peshawar
LAHO,14.51,158.3102,Lahore
KARA,18.5177,178.3091,Karachi
RAWA,-36.585,113.3368,Rawalpindi
RAWA,69.2902,-145.7708,Rawalpindi
PESH,4.536,74.8847,Peshawar
SUKK,-14.2234,-16.133,Sukkur
QUET,-61.3017,19.7767,Quetta
SUKK,54.8096,-3.6655,Sukkur
ISLA,-10.0295,-99.8435,Islamabad
ISLA,-25.3892,107.5281,Islamabad
LAHO,89.9004,-67.2534,Lahore
QUET,-4.5932,-160.9895,Quetta
RAWA,-78.8584,13.5208,Rawalpindi
KARA,-0.9168,51.0103,Karachi
KARA,85.7613,166.299,Karachi
SUKK,-66.88,-64.7328,Sukkur
KARA,-7.0105,-154.4131,Karachi
FAIS,-89.0323,82.7951,Faisalabad
PESH,25.326,-7.1503,Peshawar
GWAD,-22.3525,-29.2578,Gwadar
RAWA,-74.5626,82.2482,Rawalpindi
PESH,-36.3617,-131.3403,Peshawar
LAHO,15.4406,-95.7962,Lahore
FAIS,82.7998,-173.8248,Faisalabad
QUET,-15.204,147.3648,Quetta
RAWA,-15.9489,62.6453,Rawalpindi
ISLA,68.1277,-158.8806,Islamabad
PESH,80.5811,-77.6988,Peshawar
KARA,71.5339,-96.5503,Karachi
LAHO,45.46,-79.1047,Lahore
GWAD,-47.0296,93.6641,Gwadar
LAHO,-70.2071,18.5638,Lahore
PESH,-1.9692,-44.9089,Peshawar
MULT,-77.1935,-123.9938,Multan
PESH,-7.4269,143.3004,Peshawar
RAWA,-0.8881,124.483,Rawalpindi
MULT,-28.0301,-163.9761,Multan
SUKK,62.2973,33.0992,Sukkur
QUET,-20.5082,-12.1752,Quetta
FAIS,-85.9875,-156.6075,Faisalabad
LAHO,88.4992,-95.4557,Lahore
ISLA,-38.1485,-67.9989,Islamabad
GWAD,-80.7196,166.5778,Gwadar
RAWA,-81.7855,82.1795,Rawalpindi
ISLA,-85.2282,-47.8894,Islamabad
PESH,-45.8128,172.927,Peshawar
SUKK,-80.9497,28.1578,Sukkur
PESH,-75.0815,167.4476,Peshawar
FAIS,-17.0754,11.2855,Faisalabad
SUKK,33.8059,-39.4821,Sukkur
GUJR,56.2075,-128.3233,Gujranwala
SIAL,47.0812,40.2126,Sialkot
SUKK,-44.3755,-67.9572,Sukkur
QUET,-49.9478,-34.2583,Quetta
FAIS,28.2367,-5.4105,Faisalabad
GUJR,-12.5458,-121.3799,Gujranwala
ISLA,84.9801,-55.2486,Islamabad
KARA,-56.1623,-19.3011,Karachi
GWAD,20.397,30.6204,Gwadar
LAHO,37.3339,-68.9407,Lahore
GUJR,-72.5464,-13.3167,Gujranwala
RAWA,15.5551,110.6548,Rawalpindi
GWAD,-52.3824,137.4318,Gwadar
LAHO,81.1804,-84.1367,Lahore
LAHO,4.0795,-69.3175,Lahore
QUET,-74.5824,113.7545,Quetta
PESH,-4.4296,-10.1716,Peshawar
ISLA,-65.7214,-112.9421,Islamabad
LAHO,-62.5668,126.1375,Lahore
GWAD,51.027,-91.1025,Gwadar
RAWA,-77.191,138.3736,Rawalpindi
MULT,-31.209,-145.1755,Multan
RAWA,-8.8353,91.2348,Rawalpindi
GUJR,41.0453,-144.6083,Gujranwala
MULT,-78.7966,-31.1629,Multan
PESH,-84.4469,-72.9365,Peshawar
FAIS,25.5369,41.0431,Faisalabad
FAIS,4.6863,97.6251,Faisalabad
ISLA,44.4772,-112.4277,Islamabad
KARA,-8.5903,-62.7411,Karachi
QUET,-50.1717,-52.2441,Quetta
LAHO,48.6476,-121.3228,Lahore
PESH,-50.9276,-2.3777,Peshawar
FAIS,-73.6728,-121.4402,Faisalabad
PESH,44.0581,170.605,Peshawar
PESH,-68.4511,-144.7496,Peshawar
LAHO,-18.6248,-6.804,Lahore
PESH,-89.6405,158.383,Peshawar
SUKK,39.1473,44.9902,Sukkur
SUKK,-28.417,-80.6729,Sukkur
FAIS,-14.8574,128.1828,Faisalabad
PESH,79.1506,-80.5109,Peshawar
ISLA,-10.0292,120.2403,Islamabad
QUET,59.5218,139.2399,Quetta
QUET,60.4597,81.8766,Quetta
KARA,44.0034,-123.0902,Karachi
FAIS,46.6202,160.0773,Faisalabad
KARA,-60.9189,130.984,Karachi
ISLA,-58.2387,174.2283,Islamabad
MULT,55.3759,-134.5443,Multan
ISLA,-51.4627,-100.0422,Islamabad
GWAD,-9.1638,-148.2731,Gwadar
ISLA,-24.904,-62.5609,Islamabad
SUKK,-58.7423,-9.8767,Sukkur
QUET,31.9785,-18.571,Quetta
KARA,3.729,91.9591,Karachi
KARA,3.1559,168.2574,Karachi
ISLA,39.0507,142.0553,Islamabad
MULT,42.9198,-4.1882,Multan
PESH,-43.2097,-9.6641,Peshawar
GWAD,41.6842,5.0221,Gwadar
SUKK,-6.7203,-1.8865,Sukkur
FAIS,-42.3021,-119.9797,Faisalabad
FAIS,-88.8646,-72.6443,Faisalabad
GWAD,-51.5934,168.0719,Gwadar
FAIS,51.8203,-171.2744,Faisalabad
QUET,-81.8015,-141.0282,Quetta
SUKK,-49.8919,-140.1573,Sukkur
ISLA,-6.9718,98.8355,Islamabad
GWAD,-20.1484,162.7144,Gwadar
GWAD,20.5091,-74.4952,Gwadar
KARA,-87.2581,112.0176,Karachi
KARA,-4.0452,27.9551,Karachi
MULT,52.5553,17.6665,Multan
LAHO,-30.4712,60.015,Lahore
KARA,21.0467,94.4571,Karachi
LAHO,-63.3269,115.7656,Lahore
ISLA,14.2747,44.6051,Islamabad
RAWA,66.7358,53.2689,Rawalpindi
SIAL,-0.8203,-20.4473,Sialkot
RAWA,-41.4634,-1.8534,Rawalpindi
GWAD,-25.6136,166.9789,Gwadar
MULT,77.6018,-95.0266,Multan
KARA,-51.2653,-46.6409,Karachi
GUJR,45.6622,179.471,Gujranwala
QUET,-82.2618,36.8483,Quetta
GUJR,-34.0396,-10.7308,Gujranwala
ISLA,70.0168,-80.0478,Islamabad
GWAD,-87.7858,-57.6605,Gwadar
PESH,-56.5113,165.379,Peshawar
PESH,50.0757,-80.0707,Peshawar
SIAL,-57.7798,54.9823,Sialkot
RAWA,-81.4546,32.5517,Rawalpindi
QUET,5.8205,-143.5461,Quetta
MULT,45.5557,164.2606,Multan
SUKK,-39.4086,157.4407,Sukkur
MULT,77.3976,-145.2719,Multan
SIAL,8.2826,-59.0485,Sialkot
SUKK,77.4982,5.8463,Sukkur
FAIS,-89.0395,46.4028,Faisalabad
GWAD,63.6874,-124.5195,Gwadar
SUKK,74.7665,-109.3752,Sukkur
RAWA,-55.8608,-129.7441,Rawalpindi
MULT,61.8819,114.2589,Multan
QUET,21.0209,37.7247,Quetta
ISLA,0.6022,-111.8654,Islamabad
PESH,29.2834,131.5819,Peshawar
PESH,-33.6715,56.7734,Peshawar
SIAL,-37.2267,177.6125,Sialkot
FAIS,-5.1277,-78.9822,Faisalabad
FAIS,86.7233,-92.8872,Faisalabad
GUJR,-45.613,102.6053,Gujranwala
KARA,-73.9068,32.5254,Karachi
FAIS,-24.5861,-19.5906,Faisalabad
GUJR,-34.9108,-152.9766,Gujranwala
QUET,-40.9683,-63.4725,Quetta
MULT,-56.4584,162.0151,Multan
GWAD,-47.7463,-81.7091,Gwadar
PESH,29.3872,76.7016,Peshawar
FAIS,-62.5609,89.5717,Faisalabad
SUKK,-33.7059,-48.373,Sukkur
FAIS,-83.9998,-148.7699,Faisalabad
PESH,17.0881,15.6965,Peshawar
GUJR,-7.5797,158.2778,Gujranwala
KARA,-59.5817,54.8645,Karachi
MULT,25.2379,15.5319,Multan
GWAD,70.9874,-90.462,Gwadar
RAWA,74.4643,-60.8653,Rawalpindi
GUJR,59.9546,-28.4018,Gujranwala
MULT,-19.588,-0.885,Multan
FAIS,54.6494,29.7822,Faisalabad
MULT,68.7597,165.8446,Multan
LAHO,-6.6113,-108.352,Lahore
GWAD,-11.4075,177.9101,Gwadar
FAIS,-83.7771,48.8737,Faisalabad
SIAL,-57.1617,59.9952,Sialkot
FAIS,-71.8885,-59.6942,Faisalabad
KARA,23.2182,-19.6008,Karachi
MULT,-64.7521,96.8972,Multan
ISLA,-17.779,-88.5737,Islamabad
PESH,-74.7731,-75.2009,Peshawar
QUET,25.1172,97.0135,Quetta
LAHO,-81.9786,104.0925,Lahore
RAWA,65.0512,36.3899,Rawalpindi
GUJR,40.374,-114.166,Gujranwala
GUJR,18.3527,-47.5049,Gujranwala
RAWA,-5.3021,-101.4526,Rawalpindi
SIAL,-65.018,-171.4037,Sialkot
GUJR,-72.6953,82.6506,Gujranwala
GWAD,51.7676,76.9529,Gwadar
QUET,-49.9106,-38.5442,Quetta
GUJR,-73.7523,3.8929,Gujranwala
QUET,-4.0404,-170.2902,Quetta
PESH,84.5548,-89.0916,Peshawar
FAIS,-62.213,-58.6035,Faisalabad
FAIS,75.1634,125.0975,Faisalabad
GUJR,-51.9833,115.1717,Gujranwala
RAWA,-33.281,-55.0774,Rawalpindi
ISLA,-10.9026,50.3665,Islamabad
RAWA,-38.4413,35.6352,Rawalpindi
LAHO,-73.3746,68.1008,Lahore
GUJR,-3.2888,11.9715,Gujranwala
LAHO,43.871,114.3365,Lahore
LAHO,-72.179,175.9878,Lahore
KARA,1.0899,-131.6741,Karachi
SIAL,-39.0811,-101.7075,Sialkot
PESH,-76.8337,151.3768,Peshawar
GUJR,-38.0361,21.8119,Gujranwala
PESH,-53.1391,121.8887,Peshawar
FAIS,9.0341,46.8565,Faisalabad
LAHO,39.2561,58.4492,Lahore
SIAL,35.1657,152.0491,Sialkot
PESH,-9.4877,34.8053,Peshawar
SUKK,-8.5856,-104.8912,Sukkur
GUJR,-28.2453,58.917,Gujranwala
RAWA,-51.0606,-92.2006,Rawalpindi
RAWA,-67.6471,-149.8709,Rawalpindi
GUJR,77.2818,94.124,Gujranwala
LAHO,54.7345,133.282,Lahore
ISLA,-70.5043,-154.5529,Islamabad
MULT,-86.0768,-18.3585,Multan
PESH,2.3253,-119.346,Peshawar
GWAD,-55.7096,-71.7769,Gwadar
GWAD,58.0953,32.5593,Gwadar
KARA,-13.6358,7.7553,Karachi
GUJR,23.1827,7.6886,Gujranwala
KARA,-39.3288,89.4009,Karachi
RAWA,69.0178,-45.4268,Rawalpindi
SUKK,73.2556,-172.7247,Sukkur
PESH,60.316,141.7525,Peshawar
RAWA,72.6824,-147.4283,Rawalpindi
FAIS,-8.5931,17.7973,Faisalabad
GWAD,47.8558,-92.122,Gwadar
SUKK,0.0495,23.8341,Sukkur
RAWA,50.0897,-153.7965,Rawalpindi
QUET,-28.4085,-163.7359,Quetta
KARA,-22.2257,-165.252,Karachi
GUJR,29.1732,-1.1397,Gujranwala
FAIS,-64.7178,-121.0711,Faisalabad
SIAL,6.8333,-85.3581,Sialkot
RAWA,-54.2524,-65.1972,Rawalpindi
QUET,36.5674,-95.0341,Quetta
ISLA,68.1955,51.3636,Islamabad
QUET,34.1839,-15.8614,Quetta
GWAD,41.9079,144.4271,Gwadar
RAWA,65.2314,28.6802,Rawalpindi
SUKK,-71.4502,-16.3807,Sukkur
QUET,-33.8255,51.5008,Quetta
SIAL,70.7969,41.3115,Sialkot
LAHO,58.6252,153.6795,Lahore
KARA,37.7371,-72.624,Karachi
GUJR,-70.3897,-58.6053,Gujranwala
SUKK,10.5052,-90.7431,Sukkur
GWAD,6.5716,-40.5511,Gwadar
RAWA,60.2127,-137.5228,Rawalpindi
GWAD,-40.8929,-142.6768,Gwadar
MULT,-10.4232,-165.4473,Multan
GUJR,41.9165,4.2451,Gujranwala
KARA,-28.0924,90.688,Karachi
SUKK,-69.7679,174.2523,Sukkur
SUKK,-33.999,122.0463,Sukkur
MULT,44.6862,163.9374,Multan
RAWA,85.5902,166.957,Rawalpindi
PESH,26.2777,-175.9962,Peshawar
GUJR,-75.959,-73.9363,Gujranwala
